"Name";"Start";"End";"2024-10-07";"2024-10-14";"2024-10-21";"2024-10-28";"2024-11-04";"2024-11-11";"2024-11-18";"2024-11-25";"2024-12-02";"2024-12-09";"2024-12-16";"2024-12-23";"2024-12-30";"2025-01-06";"2025-01-13";"2025-01-20";"2025-01-27";"2025-02-03";"2025-02-10";"2025-02-17";"2025-02-24";"2025-03-03";"2025-03-10";"2025-03-17";"2025-03-24";"2025-03-31"
"qfes";"2024-10-14";"2025-03-28";"";15.0;12.5;38.0;6.0;29.0;15.0;12.5;38.0;2.5;9.0;6.5;7.5;17.0;17.5;38.0;29.5;38.0;38.0;38.0;36.0;33.0;"";"";"";""
"  Independent tasks";"2024-10-14";"2024-10-15";"";15.0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"    Scheduling";"2024-10-14";"2024-10-14";"";8.0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"    Land cover prediction";"2024-10-14";"2024-10-15";"";3.0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"    Fractional cover generation";"2024-10-15";"2024-10-15";"";4.0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"  First pass full model";"2024-10-14";"2025-01-15";"";"";12.5;38.0;6.0;29.0;15.0;12.5;38.0;2.5;9.0;6.5;7.5;17.0;"";"";"";"";"";"";"";"";"";"";"";""
"    Level 0 predictors";"2024-10-24";"2024-11-04";"";"";12.5;9.0;6.0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"    Field data";"2024-10-14";"2024-12-09";"";"";"";"";"";"";"";8.0;12.5;2.5;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"    Level 0";"2024-10-15";"2024-11-13";"";"";"";29.0;"";14.0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"    Level 1 sample tiles";"2024-11-13";"2024-11-21";"";"";"";"";"";15.0;15.0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"    Validation QFES";"2024-11-21";"2024-11-28";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"    Level 1 sample tiles rerun";"2024-11-28";"2024-12-06";"";"";"";"";"";"";"";4.5;25.5;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"    Second Validation QFES";"2024-12-06";"2024-12-13";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"    Level 1 full output";"2024-12-16";"2025-01-15";"";"";"";"";"";"";"";"";"";"";9.0;6.5;7.5;17.0;"";"";"";"";"";"";"";"";"";"";"";""
"  Finalise framework scripts";"2025-01-15";"2025-01-22";"";"";"";"";"";"";"";"";"";"";"";"";"";"";17.5;22.5;"";"";"";"";"";"";"";"";"";""
"  Multiple passes";"2025-01-22";"2025-03-27";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";15.5;29.5;14.0;9.0;12.0;19.0;33.0;"";"";"";""
"    Field data";"2025-01-22";"2025-01-24";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";12.0;"";"";"";"";"";"";"";"";"";""
"    Iterations 1-16";"2025-01-24";"2025-03-27";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";3.5;29.5;14.0;9.0;12.0;19.0;33.0;"";"";"";""
"  Deliverables";"2025-01-15";"2025-03-27";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";24.0;29.0;26.0;17.0;"";"";"";"";""
"    Maps";"2025-01-15";"2025-03-27";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"    Documents";"2025-01-15";"2025-02-28";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";24.0;29.0;26.0;17.0;"";"";"";"";""
"  Milestones";"2024-11-28";"2025-03-28";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"    Milestone 3 Planning and acquisition of field sites";"2024-11-28";"2024-11-29";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"    Milestone 4 VHC and VSS modelling";"2025-01-22";"2025-02-28";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"    Milestone 5 Project evaluation";"2025-02-28";"2025-03-28";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
